linear_velocity_x,linear_velocity_y,angular_velocity_theta,current_pos_x,current_pos_y,current_pos_theta,desired_pos_x,desired_pos_y,desired_pos_theta,time_in_seconds
-0.0002503395080566406,1.2069940567016602e-05,-0.00022850901586934924,-1.295562982559204,0.05003247410058975,-0.00027558463625609875,-1.2940295550176704,0.05000098024405785,-8.401445538319007e-05,0.08610820770263672
0.0002956390380859375,-1.1473894119262695e-05,-5.961619899608195e-05,-1.2955482006072998,0.05003190040588379,-0.00027855957159772515,-1.2938579248069493,0.05000096320229525,-0.00011466985099333791,0.10661172866821289
-0.0003647804260253906,0.0003139674663543701,-0.012458648532629013,-1.295566439628601,0.05004759877920151,-0.0009015027899295092,-1.2934596799191336,0.05000090341477281,-0.00018581147386132992,0.13591265678405762
0.0006890296936035156,0.0005039572715759277,-0.010177180171012878,-1.295531988143921,0.050072796642780304,-0.0014103519497439265,-1.2932053521954914,0.05000085043364682,-0.00023125127194100782,0.15106749534606934
-3.5762786865234375e-05,0.0005323439836502075,-0.013084533624351025,-1.2955337762832642,0.050099413841962814,-0.0020645938348025084,-1.2927879552935195,0.05000073849190542,-0.00030583826042091276,0.17058873176574707
0.0004363059997558594,0.000688210129737854,-0.017950983718037605,-1.2955119609832764,0.05013382434844971,-0.0029621452558785677,-1.292402712852751,0.05000060762542736,-0.00037469286850454984,0.1857893466949463
0.0006461143493652344,0.0009981542825698853,-0.02114226669073105,-1.295479655265808,0.0501837320625782,-0.0040192618034780025,-1.2919168514375279,0.05000040489211474,-0.00046154962094448665,0.20201730728149414
0.0011682510375976562,0.0011283904314041138,-0.02508913353085518,-1.2954212427139282,0.05024015158414841,-0.005273714661598206,-1.2913525978865608,0.05000011671869576,-0.0005624462691801905,0.21818804740905762
0.0011682510375976562,0.0014010071754455566,-0.030611073598265648,-1.2953628301620483,0.050310201942920685,-0.006804268341511488,-1.290554205295509,0.04999961222621553,-0.0007052578155066872,0.2375185489654541
0.0015878677368164062,0.001256689429283142,-0.03508150205016136,-1.2952834367752075,0.05037303641438484,-0.008558335714042187,-1.2897929002496171,0.04999902567636362,-0.0008414872035345685,0.253692626953125
0.0010514259338378906,0.001699700951576233,-0.03802420198917389,-1.2952308654785156,0.050458021461963654,-0.010459561832249165,-1.288664275552841,0.049997966833776775,-0.0010435386362779376,0.27424120903015137
0.0023031234741210938,0.0017893314361572266,-0.04099434241652489,-1.2951157093048096,0.050547488033771515,-0.012509276159107685,-1.2878663141474875,0.049997081935669554,-0.001186460429195035,0.2874755859375
0.0023794174194335938,0.0019475072622299194,-0.0423940047621727,-1.294996738433838,0.05064486339688301,-0.014628974720835686,-1.2867035929378006,0.04999559071849135,-0.0013948135395399565,0.30466771125793457
0.002644062042236328,0.001934543251991272,-0.04555811733007431,-1.294864535331726,0.050741590559482574,-0.01690688543021679,-1.2855805300624332,0.04999392340059195,-0.0015961724109126174,0.3197615146636963
0.0031042098999023438,0.0020645558834075928,-0.047220319509506226,-1.294709324836731,0.050844818353652954,-0.019267914816737175,-1.2839418386540993,0.04999109110433092,-0.0018901787376956127,0.33934950828552246
0.004065036773681641,0.0020481646060943604,-0.048958227038383484,-1.2945060729980469,0.05094722658395767,-0.02171582542359829,-1.282552932262694,0.049988320014410635,-0.002139554072476175,0.35457754135131836
0.0047206878662109375,0.0019149482250213623,-0.047632887959480286,-1.2942700386047363,0.05104297399520874,-0.024097483605146408,-1.281065227807874,0.049984975440987185,-0.0024068560936893247,0.3696105480194092
0.005443096160888672,0.0018580257892608643,-0.0486099049448967,-1.293997883796692,0.05113587528467178,-0.02652798593044281,-1.2794457117797426,0.04998089281915214,-0.002698062143654902,0.3847367763519287
0.006155967712402344,0.001828521490097046,-0.04860641434788704,-1.2936900854110718,0.051227301359176636,-0.02895832248032093,-1.2763223546557527,0.04997172228578116,-0.0032603257373439443,0.41043901443481445
0.006527900695800781,0.00173911452293396,-0.0483023077249527,-1.2933636903762817,0.051314257085323334,-0.031373485922813416,-1.2727846790122515,0.04995927949650315,-0.0038982118786403397,0.4362790584564209
0.008420944213867188,0.0016611069440841675,-0.043508753180503845,-1.2929426431655884,0.05139731243252754,-0.03354894369840622,-1.269702244417761,0.049946665039370036,-0.004454912513200307,0.4568610191345215
0.00993490219116211,0.001448020339012146,-0.04037369042634964,-1.2924458980560303,0.05146971344947815,-0.035567644983530045,-1.2672646701029484,0.04993552511125673,-0.004895743181784496,0.47213006019592285
0.010411739349365234,0.0013687461614608765,-0.038577646017074585,-1.291925311088562,0.05153815075755119,-0.03749661520123482,-1.264685314600656,0.049922621201368256,-0.005362787370231813,0.48732471466064453
0.01367807388305664,0.0012195110321044922,-0.03693349286913872,-1.2912414073944092,0.05159912630915642,-0.03934328258037567,-1.2600808804439685,0.049896745365479465,-0.00619797933018198,0.5119798183441162
0.015294551849365234,0.0008662790060043335,-0.03548561781644821,-1.290476679801941,0.051642440259456635,-0.04111756384372711,-1.2579547092441394,0.049883572617301405,-0.006584278233871414,0.5229101181030273
0.017423629760742188,0.0007149577140808105,-0.03197673335671425,-1.2896054983139038,0.051678188145160675,-0.04271640628576279,-1.2548657496437399,0.04986306267728917,-0.007146220760568474,0.5379464626312256
0.019195079803466797,0.0004836916923522949,-0.03237856179475784,-1.2886457443237305,0.05170237272977829,-0.04433533921837807,-1.2512830899940834,0.04983724643397559,-0.007799042615787777,0.5544052124023438
0.02132892608642578,0.00035800039768218994,-0.030698999762535095,-1.2875792980194092,0.0517202727496624,-0.04587029293179512,-1.248064535049456,0.04981220435034855,-0.008386496142329213,0.5684969425201416
